label,kode,nama,id_provinsi
KOTA TANJUNG BALAI,12.74,KOTA TANJUNG BALAI,12
KOTA BINJAI,12.75,KOTA BINJAI,12
KOTA TEBING TINGGI,12.76,KOTA TEBING TINGGI,12
KOTA PADANG SIDEMPUAN,12.77,KOTA PADANG SIDEMPUAN,12
KOTA GUNUNGSITOLI,12.78,KOTA GUNUNGSITOLI,12
KAB. PESISIR SELATAN,13.01,KAB. PESISIR SELATAN,13
KAB. SOLOK,13.02,KAB. SOLOK,13
KAB. SIJUNJUNG,13.03,KAB. SIJUNJUNG,13
KAB. TANAH DATAR,13.04,KAB. TANAH DATAR,13
KAB. PADANG PARIAMAN,13.05,KAB. PADANG PARIAMAN,13
KAB. AGAM,13.06,KAB. AGAM,13
KAB. LIMA PULUH KOTA,13.07,KAB. LIMA PULUH KOTA,13
KAB. PASAMAN,13.08,KAB. PASAMAN,13
KAB. KEPULAUAN MENTAWAI,13.09,KAB. KEPULAUAN MENTAWAI,13
KAB. DHARMASRAYA,13.10,KAB. DHARMASRAYA,13
KAB. SOLOK SELATAN,13.11,KAB. SOLOK SELATAN,13
KAB. PASAMAN BARAT,13.12,KAB. PASAMAN BARAT,13
KOTA PADANG,13.71,KOTA PADANG,13
KOTA SOLOK,13.72,KOTA SOLOK,13
KOTA SAWAHLUNTO,13.73,KOTA SAWAHLUNTO,13
KOTA PADANG PANJANG,13.74,KOTA PADANG PANJANG,13
KOTA BUKITTINGGI,13.75,KOTA BUKITTINGGI,13
KOTA PAYAKUMBUH,13.76,KOTA PAYAKUMBUH,13
KOTA PARIAMAN,13.77,KOTA PARIAMAN,13
KAB. KAMPAR,14.01,KAB. KAMPAR,14
KAB. INDRAGIRI HULU,14.02,KAB. INDRAGIRI HULU,14
KAB. BENGKALIS,14.03,KAB. BENGKALIS,14
KAB. INDRAGIRI HILIR,14.04,KAB. INDRAGIRI HILIR,14
KAB. PELALAWAN,14.05,KAB. PELALAWAN,14
KAB. ROKAN HULU,14.06,KAB. ROKAN HULU,14
KAB. ROKAN HILIR,14.07,KAB. ROKAN HILIR,14
KAB. SIAK,14.08,KAB. SIAK,14
KAB. KUANTAN SINGINGI,14.09,KAB. KUANTAN SINGINGI,14
KAB. KEPULAUAN MERANTI,14.10,KAB. KEPULAUAN MERANTI,14
KOTA PEKANBARU,14.71,KOTA PEKANBARU,14
KOTA DUMAI,14.72,KOTA DUMAI,14
KAB. KERINCI,15.01,KAB. KERINCI,15
KAB. MERANGIN,15.02,KAB. MERANGIN,15
KAB. SAROLANGUN,15.03,KAB. SAROLANGUN,15
KAB. BATANGHARI,15.04,KAB. BATANGHARI,15
KAB. MUARO JAMBI,15.05,KAB. MUARO JAMBI,15
KAB. TANJUNG JABUNG BARAT,15.06,KAB. TANJUNG JABUNG BARAT,15
KAB. TANJUNG JABUNG TIMUR,15.07,KAB. TANJUNG JABUNG TIMUR,15
KAB. BUNGO,15.08,KAB. BUNGO,15
KAB. TEBO,15.09,KAB. TEBO,15
KOTA JAMBI,15.71,KOTA JAMBI,15
KOTA SUNGAI PENUH,15.72,KOTA SUNGAI PENUH,15
KAB. OGAN KOMERING ULU,16.01,KAB. OGAN KOMERING ULU,16
KAB. OGAN KOMERING ILIR,16.02,KAB. OGAN KOMERING ILIR,16
KAB. MUARA ENIM,16.03,KAB. MUARA ENIM,16
KAB. LAHAT,16.04,KAB. LAHAT,16
KAB. MUSI RAWAS,16.05,KAB. MUSI RAWAS,16
KAB. MUSI BANYUASIN,16.06,KAB. MUSI BANYUASIN,16
KAB. BANYUASIN,16.07,KAB. BANYUASIN,16
KAB. OGAN KOMERING ULUTIMUR,16.08,KAB. OGAN KOMERING ULUTIMUR,16
KAB. OGAN KOMERING ULUSELATAN,16.09,KAB. OGAN KOMERING ULUSELATAN,16
KAB. OGAN ILIR,16.10,KAB. OGAN ILIR,16
KAB. EMPAT LAWANG,16.11,KAB. EMPAT LAWANG,16
KAB. PENUKAL ABAB LEMATANGILIR,16.12,KAB. PENUKAL ABAB LEMATANGILIR,16
KAB. MUSI RAWAS UTARA,16.13,KAB. MUSI RAWAS UTARA,16
KOTA PALEMBANG,16.71,KOTA PALEMBANG,16
KOTA PAGAR ALAM,16.72,KOTA PAGAR ALAM,16
KOTA LUBUK LINGGAU,16.73,KOTA LUBUK LINGGAU,16
KOTA PRABUMULIH,16.74,KOTA PRABUMULIH,16
KAB. BENGKULU SELATAN,17.01,KAB. BENGKULU SELATAN,17
KAB. REJANG LEBONG,17.02,KAB. REJANG LEBONG,17
KAB. BENGKULU UTARA,17.03,KAB. BENGKULU UTARA,17
KAB. KAUR,17.04,KAB. KAUR,17
KAB. SELUMA,17.05,KAB. SELUMA,17
KAB. MUKO MUKO,17.06,KAB. MUKO MUKO,17
KAB. LEBONG,17.07,KAB. LEBONG,17
KAB. KEPAHIANG,17.08,KAB. KEPAHIANG,17
KAB. BENGKULU TENGAH,17.09,KAB. BENGKULU TENGAH,17
KOTA BENGKULU,17.71,KOTA BENGKULU,17
KAB. LAMPUNG SELATAN,18.01,KAB. LAMPUNG SELATAN,18
KAB. LAMPUNG TENGAH,18.02,KAB. LAMPUNG TENGAH,18
KAB. LAMPUNG UTARA,18.03,KAB. LAMPUNG UTARA,18
KAB. LAMPUNG BARAT,18.04,KAB. LAMPUNG BARAT,18
KAB. TULANG BAWANG,18.05,KAB. TULANG BAWANG,18
KAB. TANGGAMUS,18.06,KAB. TANGGAMUS,18
KAB. LAMPUNG TIMUR,18.07,KAB. LAMPUNG TIMUR,18
KAB. WAY KANAN,18.08,KAB. WAY KANAN,18
KAB. PESAWARAN,18.09,KAB. PESAWARAN,18
KAB. PRINGSEWU,18.10,KAB. PRINGSEWU,18
KAB. MESUJI,18.11,KAB. MESUJI,18
KAB. TULANG BAWANG BARAT,18.12,KAB. TULANG BAWANG BARAT,18
KAB. PESISIR BARAT,18.13,KAB. PESISIR BARAT,18
KOTA BANDAR LAMPUNG,18.71,KOTA BANDAR LAMPUNG,18
KOTA METRO,18.72,KOTA METRO,18
KAB. BANGKA,19.01,KAB. BANGKA,19
KAB. BELITUNG,19.02,KAB. BELITUNG,19
KAB. BANGKA SELATAN,19.03,KAB. BANGKA SELATAN,19
KAB. BANGKA TENGAH,19.04,KAB. BANGKA TENGAH,19
KAB. BANGKA BARAT,19.05,KAB. BANGKA BARAT,19
KAB. BELITUNG TIMUR,19.06,KAB. BELITUNG TIMUR,19
KOTA PANGKAL PINANG,19.71,KOTA PANGKAL PINANG,19
KAB. BINTAN,21.01,KAB. BINTAN,21
KAB. KARIMUN,21.02,KAB. KARIMUN,21
KAB. NATUNA,21.03,KAB. NATUNA,21
KAB. LINGGA,21.04,KAB. LINGGA,21
KAB. KEPULAUAN ANAMBAS,21.05,KAB. KEPULAUAN ANAMBAS,21
KOTA BATAM,21.71,KOTA BATAM,21
KOTA TANJUNG PINANG,21.72,KOTA TANJUNG PINANG,21
KAB. ADM. KEP. SERIBU,31.01,KAB. ADM. KEP. SERIBU,31
KOTA ADM. JAKARTA PUSAT,31.71,KOTA ADM. JAKARTA PUSAT,31
KOTA ADM. JAKARTA UTARA,31.72,KOTA ADM. JAKARTA UTARA,31
KOTA ADM. JAKARTA BARAT,31.73,KOTA ADM. JAKARTA BARAT,31
KOTA ADM. JAKARTA SELATAN,31.74,KOTA ADM. JAKARTA SELATAN,31
KOTA ADM. JAKARTA TIMUR,31.75,KOTA ADM. JAKARTA TIMUR,31
KAB. BOGOR,32.01,KAB. BOGOR,32
KAB. SUKABUMI,32.02,KAB. SUKABUMI,32
KAB. CIANJUR,32.03,KAB. CIANJUR,32
KAB. BANDUNG,32.04,KAB. BANDUNG,32
KAB. GARUT,32.05,KAB. GARUT,32
KAB. TASIKMALAYA,32.06,KAB. TASIKMALAYA,32
KAB. CIAMIS,32.07,KAB. CIAMIS,32
KAB. KUNINGAN,32.08,KAB. KUNINGAN,32
KAB. CIREBON,32.09,KAB. CIREBON,32
KAB. MAJALENGKA,32.10,KAB. MAJALENGKA,32
KAB. SUMEDANG,32.11,KAB. SUMEDANG,32
KAB. INDRAMAYU,32.12,KAB. INDRAMAYU,32
KAB. SUBANG,32.13,KAB. SUBANG,32
KAB. PURWAKARTA,32.14,KAB. PURWAKARTA,32
KAB. KARAWANG,32.15,KAB. KARAWANG,32
KAB. BEKASI,32.16,KAB. BEKASI,32
KAB. BANDUNG BARAT,32.17,KAB. BANDUNG BARAT,32
KAB. PANGANDARAN,32.18,KAB. PANGANDARAN,32
KOTA BOGOR,32.71,KOTA BOGOR,32
KOTA SUKABUMI,32.72,KOTA SUKABUMI,32
KOTA BANDUNG,32.73,KOTA BANDUNG,32
KOTA CIREBON,32.74,KOTA CIREBON,32
KOTA BEKASI,32.75,KOTA BEKASI,32
KOTA DEPOK,32.76,KOTA DEPOK,32
KOTA CIMAHI,32.77,KOTA CIMAHI,32
KOTA TASIKMALAYA,32.78,KOTA TASIKMALAYA,32
KOTA BANJAR,32.79,KOTA BANJAR,32
KAB. CILACAP,33.01,KAB. CILACAP,33
KAB. BANYUMAS,33.02,KAB. BANYUMAS,33
KAB. PURBALINGGA,33.03,KAB. PURBALINGGA,33
KAB. BANJARNEGARA,33.04,KAB. BANJARNEGARA,33
KAB. KEBUMEN,33.05,KAB. KEBUMEN,33
KAB. PURWOREJO,33.06,KAB. PURWOREJO,33
KAB. WONOSOBO,33.07,KAB. WONOSOBO,33
KAB. MAGELANG,33.08,KAB. MAGELANG,33
KAB. BOYOLALI,33.09,KAB. BOYOLALI,33
KAB. KLATEN,33.10,KAB. KLATEN,33
KAB. SUKOHARJO,33.11,KAB. SUKOHARJO,33
KAB. WONOGIRI,33.12,KAB. WONOGIRI,33
KAB. KARANGANYAR,33.13,KAB. KARANGANYAR,33
KAB. SRAGEN,33.14,KAB. SRAGEN,33
KAB. GROBOGAN,33.15,KAB. GROBOGAN,33
KAB. BLORA,33.16,KAB. BLORA,33
KAB. REMBANG,33.17,KAB. REMBANG,33
KAB. PATI,33.18,KAB. PATI,33
KAB. KUDUS,33.19,KAB. KUDUS,33
KAB. JEPARA,33.20,KAB. JEPARA,33
KAB. DEMAK,33.21,KAB. DEMAK,33
KAB. SEMARANG,33.22,KAB. SEMARANG,33
KAB. TEMANGGUNG,33.23,KAB. TEMANGGUNG,33
KAB. KENDAL,33.24,KAB. KENDAL,33
KAB. BATANG,33.25,KAB. BATANG,33
KAB. PEKALONGAN,33.26,KAB. PEKALONGAN,33
KAB. PEMALANG,33.27,KAB. PEMALANG,33
KAB. TEGAL,33.28,KAB. TEGAL,33
KAB. BREBES,33.29,KAB. BREBES,33
KOTA MAGELANG,33.71,KOTA MAGELANG,33
KOTA SURAKARTA,33.72,KOTA SURAKARTA,33
KOTA SALATIGA,33.73,KOTA SALATIGA,33
KOTA SEMARANG,33.74,KOTA SEMARANG,33
KOTA PEKALONGAN,33.75,KOTA PEKALONGAN,33
KOTA TEGAL,33.76,KOTA TEGAL,33
KAB. KULON PROGO,34.01,KAB. KULON PROGO,34
KAB. BANTUL,34.02,KAB. BANTUL,34
KAB. GUNUNGKIDUL,34.03,KAB. GUNUNGKIDUL,34
KAB. SLEMAN,34.04,KAB. SLEMAN,34
KOTA YOGYAKARTA,34.71,KOTA YOGYAKARTA,34
KAB. PACITAN,35.01,KAB. PACITAN,35
KAB. PONOROGO,35.02,KAB. PONOROGO,35
KAB. TRENGGALEK,35.03,KAB. TRENGGALEK,35
KAB. TULUNGAGUNG,35.04,KAB. TULUNGAGUNG,35
KAB. BLITAR,35.05,KAB. BLITAR,35
KAB. KEDIRI,35.06,KAB. KEDIRI,35
KAB. MALANG,35.07,KAB. MALANG,35
KAB. LUMAJANG,35.08,KAB. LUMAJANG,35
KAB. JEMBER,35.09,KAB. JEMBER,35
KAB. BANYUWANGI,35.10,KAB. BANYUWANGI,35
KAB. BONDOWOSO,35.11,KAB. BONDOWOSO,35
KAB. SITUBONDO,35.12,KAB. SITUBONDO,35
KAB. PROBOLINGGO,35.13,KAB. PROBOLINGGO,35
KAB. PASURUAN,35.14,KAB. PASURUAN,35
KAB. SIDOARJO,35.15,KAB. SIDOARJO,35
KAB. MOJOKERTO,35.16,KAB. MOJOKERTO,35
KAB. JOMBANG,35.17,KAB. JOMBANG,35
KAB. NGANJUK,35.18,KAB. NGANJUK,35
KAB. MADIUN,35.19,KAB. MADIUN,35
KAB. MAGETAN,35.20,KAB. MAGETAN,35
KAB. NGAWI,35.21,KAB. NGAWI,35
KAB. BOJONEGORO,35.22,KAB. BOJONEGORO,35
KAB. TUBAN,35.23,KAB. TUBAN,35
KAB. LAMONGAN,35.24,KAB. LAMONGAN,35
KAB. GRESIK,35.25,KAB. GRESIK,35
KAB. BANGKALAN,35.26,KAB. BANGKALAN,35
KAB. SAMPANG,35.27,KAB. SAMPANG,35
KAB. PAMEKASAN,35.28,KAB. PAMEKASAN,35
KAB. SUMENEP,35.29,KAB. SUMENEP,35
KOTA KEDIRI,35.71,KOTA KEDIRI,35
KOTA BLITAR,35.72,KOTA BLITAR,35
KOTA MALANG,35.73,KOTA MALANG,35
KOTA PROBOLINGGO,35.74,KOTA PROBOLINGGO,35
KOTA PASURUAN,35.75,KOTA PASURUAN,35
KOTA MOJOKERTO,35.76,KOTA MOJOKERTO,35
KOTA MADIUN,35.77,KOTA MADIUN,35
KOTA SURABAYA,35.78,KOTA SURABAYA,35
KOTA BATU,35.79,KOTA BATU,35
KAB. PANDEGLANG,36.01,KAB. PANDEGLANG,36
KAB. LEBAK,36.02,KAB. LEBAK,36
KAB. TANGERANG,36.03,KAB. TANGERANG,36
KAB. SERANG,36.04,KAB. SERANG,36
KOTA TANGERANG,36.71,KOTA TANGERANG,36
KOTA CILEGON,36.72,KOTA CILEGON,36
KOTA SERANG,36.73,KOTA SERANG,36
KOTA TANGERANG SELATAN,36.74,KOTA TANGERANG SELATAN,36
KAB. JEMBRANA,51.01,KAB. JEMBRANA,51
KAB. TABANAN,51.02,KAB. TABANAN,51
KAB. BADUNG,51.03,KAB. BADUNG,51
KAB. GIANYAR,51.04,KAB. GIANYAR,51
KAB. KLUNGKUNG,51.05,KAB. KLUNGKUNG,51
KAB. BANGLI,51.06,KAB. BANGLI,51
KAB. KARANGASEM,51.07,KAB. KARANGASEM,51
KAB. BULELENG,51.08,KAB. BULELENG,51
KOTA DENPASAR,51.71,KOTA DENPASAR,51
KAB. LOMBOK BARAT,52.01,KAB. LOMBOK BARAT,52
KAB. LOMBOK TENGAH,52.02,KAB. LOMBOK TENGAH,52
KAB. LOMBOK TIMUR,52.03,KAB. LOMBOK TIMUR,52
KAB. SUMBAWA,52.04,KAB. SUMBAWA,52
KAB. DOMPU,52.05,KAB. DOMPU,52
KAB. BIMA,52.06,KAB. BIMA,52
KAB. SUMBAWA BARAT,52.07,KAB. SUMBAWA BARAT,52
KAB. LOMBOK UTARA,52.08,KAB. LOMBOK UTARA,52
KOTA MATARAM,52.71,KOTA MATARAM,52
KOTA BIMA,52.72,KOTA BIMA,52
KAB. KUPANG,53.01,KAB. KUPANG,53
KAB TIMOR TENGAH SELATAN,53.02,KAB TIMOR TENGAH SELATAN,53
KAB. TIMOR TENGAH UTARA,53.03,KAB. TIMOR TENGAH UTARA,53
KAB. BELU,53.04,KAB. BELU,53
KAB. ALOR,53.05,KAB. ALOR,53
KAB. FLORES TIMUR,53.06,KAB. FLORES TIMUR,53
KAB. SIKKA,53.07,KAB. SIKKA,53
KAB. ENDE,53.08,KAB. ENDE,53
KAB. NGADA,53.09,KAB. NGADA,53
KAB. MANGGARAI,53.10,KAB. MANGGARAI,53
KAB. SUMBA TIMUR,53.11,KAB. SUMBA TIMUR,53
KAB. SUMBA BARAT,53.12,KAB. SUMBA BARAT,53
KAB. LEMBATA,53.13,KAB. LEMBATA,53
KAB. ROTE NDAO,53.14,KAB. ROTE NDAO,53
KAB. MANGGARAI BARAT,53.15,KAB. MANGGARAI BARAT,53
KAB. NAGEKEO,53.16,KAB. NAGEKEO,53
KAB. SUMBA TENGAH,53.17,KAB. SUMBA TENGAH,53
KAB. SUMBA BARAT DAYA,53.18,KAB. SUMBA BARAT DAYA,53
KAB. MANGGARAI TIMUR,53.19,KAB. MANGGARAI TIMUR,53
KAB. SABU RAIJUA,53.20,KAB. SABU RAIJUA,53
KAB. MALAKA,53.21,KAB. MALAKA,53
KOTA KUPANG,53.71,KOTA KUPANG,53
KAB. SAMBAS,61.01,KAB. SAMBAS,61
KAB. MEMPAWAH,61.02,KAB. MEMPAWAH,61
KAB. SANGGAU,61.03,KAB. SANGGAU,61
KAB. KETAPANG,61.04,KAB. KETAPANG,61
KAB. SINTANG,61.05,KAB. SINTANG,61
KAB. KAPUAS HULU,61.06,KAB. KAPUAS HULU,61
KAB. BENGKAYANG,61.07,KAB. BENGKAYANG,61
KAB. LANDAK,61.08,KAB. LANDAK,61
KAB. SEKADAU,61.09,KAB. SEKADAU,61
KAB. MELAWI,61.10,KAB. MELAWI,61
KAB. KAYONG UTARA,61.11,KAB. KAYONG UTARA,61
KAB. KUBU RAYA,61.12,KAB. KUBU RAYA,61
KOTA PONTIANAK,61.71,KOTA PONTIANAK,61
KOTA SINGKAWANG,61.72,KOTA SINGKAWANG,61
KAB. KOTAWARINGIN BARAT,62.01,KAB. KOTAWARINGIN BARAT,62
KAB. KOTAWARINGIN TIMUR,62.02,KAB. KOTAWARINGIN TIMUR,62
KAB. KAPUAS,62.03,KAB. KAPUAS,62
KAB. BARITO SELATAN,62.04,KAB. BARITO SELATAN,62
KAB. BARITO UTARA,62.05,KAB. BARITO UTARA,62
KAB. KATINGAN,62.06,KAB. KATINGAN,62
KAB. SERUYAN,62.07,KAB. SERUYAN,62
KAB. SUKAMARA,62.08,KAB. SUKAMARA,62
KAB. LAMANDAU,62.09,KAB. LAMANDAU,62
KAB. GUNUNG MAS,62.10,KAB. GUNUNG MAS,62
KAB. PULANG PISAU,62.11,KAB. PULANG PISAU,62
KAB. MURUNG RAYA,62.12,KAB. MURUNG RAYA,62
KAB. BARITO TIMUR,62.13,KAB. BARITO TIMUR,62
KOTA PALANGKARAYA,62.71,KOTA PALANGKARAYA,62
KAB. TANAH LAUT,63.01,KAB. TANAH LAUT,63
KAB. KOTABARU,63.02,KAB. KOTABARU,63
KAB. BANJAR,63.03,KAB. BANJAR,63
KAB. BARITO KUALA,63.04,KAB. BARITO KUALA,63
KAB. TAPIN,63.05,KAB. TAPIN,63
KAB. HULU SUNGAI SELATAN,63.06,KAB. HULU SUNGAI SELATAN,63
KAB. HULU SUNGAI TENGAH,63.07,KAB. HULU SUNGAI TENGAH,63
KAB. HULU SUNGAI UTARA,63.08,KAB. HULU SUNGAI UTARA,63
KAB. TABALONG,63.09,KAB. TABALONG,63
KAB. TANAH BUMBU,63.10,KAB. TANAH BUMBU,63
KAB. BALANGAN,63.11,KAB. BALANGAN,63
KOTA BANJARMASIN,63.71,KOTA BANJARMASIN,63
KOTA BANJARBARU,63.72,KOTA BANJARBARU,63
KAB. PASER,64.01,KAB. PASER,64
KAB. KUTAI KARTANEGARA,64.02,KAB. KUTAI KARTANEGARA,64
KAB. BERAU,64.03,KAB. BERAU,64
KAB. KUTAI BARAT,64.07,KAB. KUTAI BARAT,64
KAB. KUTAI TIMUR,64.08,KAB. KUTAI TIMUR,64
KAB. PENAJAM PASER UTARA,64.09,KAB. PENAJAM PASER UTARA,64
KAB. MAHAKAM ULU,64.11,KAB. MAHAKAM ULU,64
KOTA BALIKPAPAN,64.71,KOTA BALIKPAPAN,64
KOTA SAMARINDA,64.72,KOTA SAMARINDA,64
KOTA BONTANG,64.74,KOTA BONTANG,64
KAB. BULUNGAN,65.01,KAB. BULUNGAN,65
KAB. MALINAU,65.02,KAB. MALINAU,65
KAB. NUNUKAN,65.03,KAB. NUNUKAN,65
KAB. TANA TIDUNG,65.04,KAB. TANA TIDUNG,65
KOTA TARAKAN,65.71,KOTA TARAKAN,65
KAB. BOLAANG MONGONDOW,71.01,KAB. BOLAANG MONGONDOW,71
KAB. MINAHASA,71.02,KAB. MINAHASA,71
KAB. KEPULAUAN SANGIHE,71.03,KAB. KEPULAUAN SANGIHE,71
KAB. KEPULAUAN TALAUD,71.04,KAB. KEPULAUAN TALAUD,71
KAB. MINAHASA SELATAN,71.05,KAB. MINAHASA SELATAN,71
KAB. MINAHASA UTARA,71.06,KAB. MINAHASA UTARA,71
KAB. MINAHASA TENGGARA,71.07,KAB. MINAHASA TENGGARA,71
KAB. BOLAANG MONGONDOWUTARA,71.08,KAB. BOLAANG MONGONDOWUTARA,71
KAB. KEP. SIAU TAGULANDANGBIARO,71.09,KAB. KEP. SIAU TAGULANDANGBIARO,71
KAB. BOLAANG MONGONDOWTIMUR,71.10,KAB. BOLAANG MONGONDOWTIMUR,71
KAB. BOLAANG MONGONDOWSELATAN,71.11,KAB. BOLAANG MONGONDOWSELATAN,71
KOTA MANADO,71.71,KOTA MANADO,71
KOTA BITUNG,71.72,KOTA BITUNG,71
KOTA TOMOHON,71.73,KOTA TOMOHON,71
KOTA KOTAMOBAGU,71.74,KOTA KOTAMOBAGU,71
KAB. BANGGAI,72.01,KAB. BANGGAI,72
KAB. POSO,72.02,KAB. POSO,72
KAB. DONGGALA,72.03,KAB. DONGGALA,72
KAB. TOLI TOLI,72.04,KAB. TOLI TOLI,72
KAB. BUOL,72.05,KAB. BUOL,72
KAB. MOROWALI,72.06,KAB. MOROWALI,72
KAB. BANGGAI KEPULAUAN,72.07,KAB. BANGGAI KEPULAUAN,72
KAB. PARIGI MOUTONG,72.08,KAB. PARIGI MOUTONG,72
KAB. TOJO UNA UNA,72.09,KAB. TOJO UNA UNA,72
KAB. SIGI,72.10,KAB. SIGI,72
KAB. BANGGAI LAUT,72.11,KAB. BANGGAI LAUT,72
KAB. MOROWALI UTARA,72.12,KAB. MOROWALI UTARA,72
KOTA PALU,72.71,KOTA PALU,72
KAB. KEPULAUAN SELAYAR,73.01,KAB. KEPULAUAN SELAYAR,73
KAB. BULUKUMBA,73.02,KAB. BULUKUMBA,73
KAB. BANTAENG,73.03,KAB. BANTAENG,73
KAB. JENEPONTO,73.04,KAB. JENEPONTO,73
KAB. TAKALAR,73.05,KAB. TAKALAR,73
KAB. GOWA,73.06,KAB. GOWA,73
KAB. SINJAI,73.07,KAB. SINJAI,73
KAB. BONE,73.08,KAB. BONE,73
KAB. MAROS,73.09,KAB. MAROS,73
KAB. PANGKAJENE KEPULAUAN,73.10,KAB. PANGKAJENE KEPULAUAN,73
KAB. BARRU,73.11,KAB. BARRU,73
KAB. SOPPENG,73.12,KAB. SOPPENG,73
KAB. WAJO,73.13,KAB. WAJO,73
KAB. SIDENRENG RAPPANG,73.14,KAB. SIDENRENG RAPPANG,73
KAB. PINRANG,73.15,KAB. PINRANG,73
KAB. ENREKANG,73.16,KAB. ENREKANG,73
KAB. LUWU,73.17,KAB. LUWU,73
KAB. TANA TORAJA,73.18,KAB. TANA TORAJA,73
KAB. LUWU UTARA,73.22,KAB. LUWU UTARA,73
KAB. LUWU TIMUR,73.24,KAB. LUWU TIMUR,73
KAB. TORAJA UTARA,73.26,KAB. TORAJA UTARA,73
KOTA MAKASSAR,73.71,KOTA MAKASSAR,73
KOTA PARE PARE,73.72,KOTA PARE PARE,73
KOTA PALOPO,73.73,KOTA PALOPO,73
KAB. KOLAKA,74.01,KAB. KOLAKA,74
KAB. KONAWE,74.02,KAB. KONAWE,74
KAB. MUNA,74.03,KAB. MUNA,74
KAB. BUTON,74.04,KAB. BUTON,74
KAB. KONAWE SELATAN,74.05,KAB. KONAWE SELATAN,74
KAB. BOMBANA,74.06,KAB. BOMBANA,74
KAB. WAKATOBI,74.07,KAB. WAKATOBI,74
KAB. KOLAKA UTARA,74.08,KAB. KOLAKA UTARA,74
KAB. KONAWE UTARA,74.09,KAB. KONAWE UTARA,74
KAB. BUTON UTARA,74.10,KAB. BUTON UTARA,74
KAB. KOLAKA TIMUR,74.11,KAB. KOLAKA TIMUR,74
KAB. KONAWE KEPULAUAN,74.12,KAB. KONAWE KEPULAUAN,74
KAB. MUNA BARAT,74.13,KAB. MUNA BARAT,74
KAB. BUTON TENGAH,74.14,KAB. BUTON TENGAH,74
KAB. BUTON SELATAN,74.15,KAB. BUTON SELATAN,74
KOTA KENDARI,74.71,KOTA KENDARI,74
